institute,N Polled,Date,CDU,SPD,GRÜNE,FDP,LINKE,AfD,BSW,Sonstige
INSA,1000,2026-09-02,22.0,7.0,5.0,3.0,12.0,43.0,4.0,4.0
Forschungs-gruppe Wahlen,1053,2026-08-28,23.0,9.0,6.0,3.0,13.0,40.0,3.0,3.0
Infratestdimap,1511,2026-08-26,22.0,8.0,6.0,3.0,11.0,42.0,4.0,4.0
pollytix,2604,2026-08-12,23.0,7.0,5.0,2.0,13.0,43.0,4.0,3.0
INSA,1000,2026-08-10,22.0,6.0,4.0,4.0,13.0,42.0,5.0,4.0
Infratestdimap,1149,2026-07-30,24.0,7.0,5.0,0.0,13.0,41.0,4.0,6.0
INSA,1000,2026-07-23,24.0,5.0,4.0,4.0,14.0,41.0,4.0,4.0
INSA,1000,2026-07-03,23.0,6.0,4.0,4.0,13.0,41.0,5.0,4.0
INSA,1000,2026-05-13,24.0,6.0,4.0,3.0,13.0,42.0,4.0,4.0
Infratestdimap,1164,2026-05-07,26.0,7.0,4.0,0.0,12.0,41.0,4.0,6.0
INSA,1000,2026-03-25,25.0,6.0,4.0,3.0,13.0,38.0,5.0,6.0
INSA,1000,2026-01-27,26.0,8.0,3.0,2.0,11.0,39.0,6.0,5.0
INSA,1000,2025-10-15,26.0,6.0,3.0,3.0,11.0,40.0,6.0,5.0
Infratestdimap,1167,2025-09-04,27.0,7.0,3.0,0.0,13.0,39.0,6.0,5.0
INSA,1000,2025-06-19,34.0,7.0,3.0,2.0,11.0,30.0,8.0,5.0
INSA,1000,2025-01-16,32.0,8.0,3.0,4.0,4.0,31.0,14.0,4.0
INSA,1000,2024-11-05,32.0,7.0,3.0,4.0,3.0,30.0,16.0,5.0
INSA,1000,2024-07-05,29.0,8.0,4.0,4.0,4.0,29.0,16.0,6.0
INSA,1000,2024-06-13,31.0,7.0,4.0,4.0,5.0,30.0,13.0,6.0
INSA,1000,2024-04-18,32.0,8.0,5.0,4.0,5.0,29.0,10.0,7.0
INSA,1000,2023-10-24,32.0,8.0,5.0,4.0,9.0,33.0,0.0,9.0
INSA,1000,2023-06-27,31.0,9.0,6.0,6.0,9.0,29.0,0.0,10.0
INSA,1000,2023-03-21,35.0,8.0,7.0,6.0,11.0,26.0,0.0,7.0
Infratestdimap,1161,2022-02-24,33.0,16.0,6.0,5.0,11.0,20.0,0.0,9.0
Landtagswahl am 06.06.2021,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSA,1132,2021-06-04,27.0,10.0,8.0,7.0,12.0,26.0,0.0,10.0
Forschungs-gruppe Wahlen,1017,2021-06-03,30.0,10.0,9.0,6.5,11.5,23.0,0.0,10.0
Forschungs-gruppe Wahlen,1008,2021-05-28,29.0,10.0,9.0,8.0,11.0,23.0,0.0,10.0
