Date,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,FW,BSW,Sonstige,N Polled,institute,mode
2026-08-21,22.5,13.0,13.0,6.0,11.0,27.5,0.0,0.0,7.0,1039.0,allensbach,FF
2026-07-23,24.0,13.0,13.0,5.5,10.0,26.5,0.0,0.0,8.0,1040.0,allensbach,FF
2026-06-24,24.0,12.5,13.0,5.5,10.0,28.0,0.0,0.0,7.0,1047.0,allensbach,FF
2026-06-24,24.0,13.5,13.0,5.0,9.5,27.0,0.0,0.0,8.0,1010.0,allensbach,FF
2026-05-11,25.0,12.5,14.0,4.5,10.0,26.0,0.0,0.0,8.0,1015.0,allensbach,FF
2026-04-17,26.0,14.0,13.0,4.0,10.0,25.0,0.0,0.0,8.0,1057.0,allensbach,FF
2026-03-21,28.0,16.0,11.5,4.0,10.0,23.0,0.0,0.0,7.5,1045.0,allensbach,FF
2026-03-02,27.0,16.0,12.0,4.0,10.0,24.0,0.0,0.0,7.0,1052.0,allensbach,FF
2026-01-31,27.0,15.0,11.5,3.5,10.0,25.0,0.0,0.0,8.0,1077.0,allensbach,FF
2025-12-11,27.0,14.0,12.5,4.5,9.0,25.0,0.0,3.0,5.0,1029.0,allensbach,FF
2025-11-14,27.0,15.5,11.0,3.5,10.0,24.0,0.0,4.0,5.0,1011.0,allensbach,FF
2025-10-17,26.0,15.0,11.0,3.0,11.0,25.0,0.0,4.0,5.0,1044.0,allensbach,FF
2025-09-24,27.0,15.0,11.0,4.0,11.0,24.0,0.0,3.0,5.0,1013.0,allensbach,FF
2025-08-21,28.0,16.0,11.0,4.0,10.0,22.5,0.0,4.0,4.5,1051.0,allensbach,FF
2025-07-19,29.0,15.0,12.0,4.0,9.0,23.0,0.0,3.5,4.5,1054.0,allensbach,FF
2025-06-20,29.0,16.0,11.0,4.0,9.0,23.0,0.0,4.0,4.0,1054.0,allensbach,FF
2025-05-24,28.0,17.0,11.0,3.0,10.0,22.5,0.0,4.0,4.5,1032.0,allensbach,FF
2025-04-19,27.0,16.0,12.0,3.0,10.0,23.5,0.0,4.0,4.5,1048.0,allensbach,FF
2025-03-27,29.5,16.0,11.5,3.0,10.0,21.0,0.0,4.0,5.0,1031.0,allensbach,FF
2025-02-21,32.0,14.5,12.0,4.5,7.5,20.0,0.0,4.5,5.0,1064.0,allensbach,FF
2025-02-13,32.0,15.0,13.0,5.0,6.0,20.0,0.0,4.0,5.0,1021.0,allensbach,FF
2025-01-23,34.0,17.0,13.5,4.0,0.0,20.0,0.0,5.0,6.5,1015.0,allensbach,FF
2024-12-20,36.0,16.0,12.0,4.0,0.0,18.0,0.0,6.0,8.0,1006.0,allensbach,FF
2024-11-22,37.0,15.0,10.0,4.0,0.0,17.0,0.0,7.5,9.5,1049.0,allensbach,FF
2024-10-18,36.0,15.0,10.5,4.5,0.0,16.0,0.0,9.0,9.0,1041.0,allensbach,FF
2024-09-19,35.5,16.0,10.0,4.0,0.0,17.0,0.0,9.0,8.5,1017.0,allensbach,FF
2024-08-22,34.0,16.0,11.5,5.0,3.0,16.0,0.0,7.0,7.5,1051.0,allensbach,FF
2024-07-25,32.0,16.5,11.5,6.0,0.0,17.0,0.0,8.0,9.0,1003.0,allensbach,FF
2024-06-20,32.0,16.0,13.0,6.0,3.0,15.0,0.0,7.0,8.0,1084.0,allensbach,FF
2024-05-24,32.5,17.5,13.0,6.0,3.0,14.0,0.0,8.0,6.0,1093.0,allensbach,FF
2024-04-26,32.5,16.0,15.0,6.0,3.0,16.0,0.0,7.0,4.5,1041.0,allensbach,FF
2024-03-21,34.0,15.0,14.0,5.0,3.0,16.0,0.0,7.0,6.0,1027.0,allensbach,FF
2024-02-22,32.0,15.0,14.0,6.0,3.0,18.0,0.0,7.0,5.0,1053.0,allensbach,FF
2024-01-25,34.0,15.0,13.5,6.0,4.0,19.5,3.0,0.0,5.0,1018.0,allensbach,FF
2023-12-21,34.0,17.0,15.0,5.0,3.5,18.0,3.0,0.0,4.5,1013.0,allensbach,FF
2023-11-23,32.0,17.0,13.5,6.0,3.5,19.0,4.0,0.0,5.0,1047.0,allensbach,FF
2023-10-25,34.0,17.0,13.0,5.0,3.0,19.0,4.0,0.0,5.0,1010.0,allensbach,FF
2023-09-21,30.0,18.0,14.0,7.0,5.0,19.0,0.0,0.0,7.0,1030.0,allensbach,FF
2023-08-23,29.0,19.0,14.0,7.0,5.0,19.0,0.0,0.0,7.0,1026.0,allensbach,FF
2023-07-27,29.0,19.0,16.0,7.0,4.0,18.0,0.0,0.0,7.0,1011.0,allensbach,FF
2023-06-29,31.0,19.0,15.0,8.0,4.0,17.0,0.0,0.0,6.0,1039.0,allensbach,FF
2023-05-18,32.0,18.0,16.0,8.0,5.0,15.0,0.0,0.0,6.0,1001.0,allensbach,FF
2023-04-26,31.0,20.0,15.0,7.5,5.0,16.0,0.0,0.0,5.5,1007.0,allensbach,FF
2023-03-23,31.0,21.0,16.0,6.5,4.5,15.0,0.0,0.0,6.0,1101.0,allensbach,FF
2023-02-15,30.0,22.5,16.0,7.5,4.0,14.0,0.0,0.0,6.0,1088.0,allensbach,FF
2023-01-26,31.0,21.0,17.0,6.0,4.5,14.0,0.0,0.0,6.5,1023.0,allensbach,FF
2022-12-21,30.0,22.0,18.0,7.5,4.5,12.0,0.0,0.0,6.0,1035.0,allensbach,FF
2022-11-24,29.5,20.0,20.0,7.0,4.0,14.0,0.0,0.0,5.5,1042.0,allensbach,FF
2022-10-20,30.5,19.0,19.0,7.0,5.0,14.0,0.0,0.0,5.5,1021.0,allensbach,FF
2022-09-16,30.0,20.0,19.0,7.0,5.5,13.0,0.0,0.0,5.5,1030.0,allensbach,FF
2022-08-24,29.0,19.5,21.0,8.0,5.0,12.0,0.0,0.0,5.5,1038.0,allensbach,FF
2022-07-27,27.5,22.0,22.0,7.0,5.0,11.0,0.0,0.0,5.5,1006.0,allensbach,FF
2022-06-22,27.0,23.0,22.0,8.0,4.5,10.0,0.0,0.0,5.5,1046.0,allensbach,FF
2022-05-27,29.0,24.0,20.5,8.0,4.5,9.0,0.0,0.0,5.0,1118.0,allensbach,FF
2022-04-13,24.0,28.0,17.0,9.0,6.0,9.0,0.0,0.0,7.0,1075.0,allensbach,FF
2022-03-24,25.0,25.0,17.0,10.5,5.0,10.0,0.0,0.0,7.5,1041.0,allensbach,FF
2022-02-24,27.0,25.0,15.0,10.5,6.0,10.0,0.0,0.0,6.5,1033.0,allensbach,FF
2022-01-26,23.0,27.5,14.5,12.5,5.5,10.0,0.0,0.0,7.0,1090.0,allensbach,FF
2021-12-22,24.0,26.0,15.0,13.0,5.0,10.5,0.0,0.0,6.5,1069.0,allensbach,FF
2021-11-18,23.0,27.0,15.0,14.0,5.5,9.5,0.0,0.0,6.0,1016.0,allensbach,FF
2021-10-20,21.0,28.0,15.0,14.0,5.0,9.5,0.0,0.0,7.5,1045.0,allensbach,FF
2021-09-24,25.0,26.0,16.0,10.5,5.0,10.0,0.0,0.0,7.5,1554.0,allensbach,FF
2021-09-08,25.0,27.0,15.5,9.5,6.0,11.0,0.0,0.0,6.0,1258.0,allensbach,FF
2021-08-28,26.0,24.0,17.0,10.5,6.0,10.5,0.0,0.0,6.0,1038.0,allensbach,FF
2021-08-19,27.5,19.5,17.5,11.0,7.5,11.0,0.0,0.0,6.0,1018.0,allensbach,FF
